locus_tag	ftype	length_bp	gene	EC_number	COG	product
OKAGGDNG_00107	CDS	2298	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
OKAGGDNG_00108	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
OKAGGDNG_00109	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
OKAGGDNG_00110	CDS	1779	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
OKAGGDNG_00111	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
OKAGGDNG_00112	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
OKAGGDNG_00113	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
OKAGGDNG_00114	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
OKAGGDNG_00115	CDS	933	arcC1_1	2.7.2.2		Carbamate kinase 1
OKAGGDNG_00116	CDS	1626				hypothetical protein
OKAGGDNG_00117	CDS	771				hypothetical protein
OKAGGDNG_00118	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
OKAGGDNG_00119	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
OKAGGDNG_00120	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
OKAGGDNG_00121	CDS	780				hypothetical protein
OKAGGDNG_00122	CDS	2871	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
OKAGGDNG_00123	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
OKAGGDNG_00124	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
OKAGGDNG_00125	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
OKAGGDNG_00126	CDS	489	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
OKAGGDNG_00127	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
OKAGGDNG_00128	CDS	1449	uacT		COG2233	Uric acid transporter UacT
OKAGGDNG_00129	CDS	126	yqfG			putative protein YqfG
OKAGGDNG_00130	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
OKAGGDNG_00131	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
OKAGGDNG_00132	CDS	882	prfB_1		COG1186	Peptide chain release factor RF2
OKAGGDNG_00133	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
OKAGGDNG_00134	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
OKAGGDNG_00135	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
OKAGGDNG_00136	CDS	522	fldB		COG0716	Flavodoxin 2
OKAGGDNG_00137	CDS	408	ygfX			Inner membrane protein YgfX
OKAGGDNG_00138	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
OKAGGDNG_00139	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
OKAGGDNG_00140	CDS	660				hypothetical protein
OKAGGDNG_00141	CDS	312				hypothetical protein
OKAGGDNG_00142	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
OKAGGDNG_00143	CDS	744	ygfF	1.-.-.-		putative oxidoreductase YgfF
OKAGGDNG_00144	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
OKAGGDNG_00145	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
OKAGGDNG_00146	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
OKAGGDNG_00147	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
OKAGGDNG_00148	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
OKAGGDNG_00149	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
OKAGGDNG_00150	CDS	579				hypothetical protein
OKAGGDNG_00151	CDS	330	zapA		COG3027	Cell division protein ZapA
OKAGGDNG_00152	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
OKAGGDNG_00153	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
OKAGGDNG_00154	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
OKAGGDNG_00155	CDS	231				hypothetical protein
OKAGGDNG_00156	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
OKAGGDNG_00157	CDS	2145	scpA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
OKAGGDNG_00158	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
OKAGGDNG_00159	CDS	786	scpB	4.1.1.-	COG1024	Methylmalonyl-CoA decarboxylase
OKAGGDNG_00160	CDS	1479	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
OKAGGDNG_00161	CDS	897	cynR_1			HTH-type transcriptional regulator CynR
OKAGGDNG_00162	CDS	741			COG2968	26 kDa periplasmic immunogenic protein
OKAGGDNG_00163	CDS	636	argO		COG1279	Arginine exporter protein ArgO
OKAGGDNG_00164	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
OKAGGDNG_00165	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
OKAGGDNG_00166	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
OKAGGDNG_00167	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
OKAGGDNG_00168	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
OKAGGDNG_00169	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
OKAGGDNG_00170	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
OKAGGDNG_00171	CDS	1278	yggP	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
OKAGGDNG_00172	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
OKAGGDNG_00173	CDS	417	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
OKAGGDNG_00174	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
OKAGGDNG_00175	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
OKAGGDNG_00176	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
OKAGGDNG_00177	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
OKAGGDNG_00178	CDS	252				hypothetical protein
OKAGGDNG_00179	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
OKAGGDNG_00180	CDS	1395	galP			Galactose-proton symporter
OKAGGDNG_00181	CDS	456	sprT			Protein SprT
OKAGGDNG_00182	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
OKAGGDNG_00183	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
OKAGGDNG_00184	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
OKAGGDNG_00185	CDS	636				hypothetical protein
OKAGGDNG_00186	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
OKAGGDNG_00187	CDS	981	yggR		COG2805	putative protein YggR
OKAGGDNG_00188	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
OKAGGDNG_00189	CDS	567				hypothetical protein
OKAGGDNG_00190	CDS	291				hypothetical protein
OKAGGDNG_00191	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
OKAGGDNG_00192	CDS	1137	hemW		COG0635	Heme chaperone HemW
OKAGGDNG_00193	CDS	1008				hypothetical protein
OKAGGDNG_00194	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
OKAGGDNG_00195	CDS	720				hypothetical protein
OKAGGDNG_00196	CDS	327			COG3171	putative protein
OKAGGDNG_00197	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
OKAGGDNG_00198	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
OKAGGDNG_00199	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
OKAGGDNG_00200	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
OKAGGDNG_00201	CDS	1257	nupG			Nucleoside permease NupG
OKAGGDNG_00202	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
OKAGGDNG_00203	CDS	708				hypothetical protein
OKAGGDNG_00204	tRNA	76				tRNA-Phe(gaa)
OKAGGDNG_00205	CDS	885	intS_1		COG0582	Prophage integrase IntS
OKAGGDNG_00206	CDS	918				hypothetical protein
OKAGGDNG_00207	CDS	873	era_2			GTPase Era
OKAGGDNG_00208	CDS	2847	flu		COG3468	Antigen 43
OKAGGDNG_00209	CDS	2517				hypothetical protein
OKAGGDNG_00210	CDS	456				hypothetical protein
OKAGGDNG_00211	CDS	234				hypothetical protein
OKAGGDNG_00212	CDS	819				hypothetical protein
OKAGGDNG_00213	CDS	486	klcA			Antirestriction protein KlcA
OKAGGDNG_00214	CDS	477				hypothetical protein
OKAGGDNG_00215	CDS	222				hypothetical protein
OKAGGDNG_00216	CDS	1062				hypothetical protein
OKAGGDNG_00217	CDS	375	cbtA			Cytoskeleton-binding toxin CbtA
OKAGGDNG_00218	CDS	489				hypothetical protein
OKAGGDNG_00219	CDS	198				hypothetical protein
OKAGGDNG_00220	CDS	570				hypothetical protein
OKAGGDNG_00221	CDS	291				hypothetical protein
OKAGGDNG_00222	CDS	984	kpsF	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KpsF
OKAGGDNG_00223	CDS	1149				hypothetical protein
OKAGGDNG_00224	CDS	1677	kpsD		COG1596	Polysialic acid transport protein KpsD
OKAGGDNG_00225	CDS	741	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
OKAGGDNG_00226	CDS	2028				hypothetical protein
OKAGGDNG_00227	CDS	1233				hypothetical protein
OKAGGDNG_00228	CDS	960				hypothetical protein
OKAGGDNG_00229	CDS	1140				hypothetical protein
OKAGGDNG_00230	CDS	207				hypothetical protein
OKAGGDNG_00231	CDS	1674	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
OKAGGDNG_00232	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
OKAGGDNG_00233	CDS	573	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
OKAGGDNG_00234	CDS	2685	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
OKAGGDNG_00235	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
OKAGGDNG_00236	CDS	258				hypothetical protein
OKAGGDNG_00237	CDS	2199	speF	4.1.1.17	COG1982	Inducible ornithine decarboxylase
OKAGGDNG_00238	CDS	1320	potE		COG0531	Putrescine transporter PotE
OKAGGDNG_00239	CDS	651				hypothetical protein
OKAGGDNG_00240	CDS	495				hypothetical protein
OKAGGDNG_00241	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
OKAGGDNG_00242	CDS	546	seqA		COG3057	Negative modulator of initiation of replication
OKAGGDNG_00243	CDS	765	ybfF	3.1.-.-	COG0596	Esterase YbfF
OKAGGDNG_00244	CDS	363	ybfE			putative protein YbfE
OKAGGDNG_00245	CDS	531	fldA		COG0716	Flavodoxin 1
OKAGGDNG_00246	CDS	447	fur		COG0735	Ferric uptake regulation protein
OKAGGDNG_00247	CDS	327	chiQ			putative lipoprotein ChiQ
OKAGGDNG_00248	CDS	1407	chiP			Chitoporin
OKAGGDNG_00249	CDS	1665	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
OKAGGDNG_00250	CDS	123				hypothetical protein
OKAGGDNG_00251	CDS	1947	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
OKAGGDNG_00252	CDS	801	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
OKAGGDNG_00253	CDS	1149	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
OKAGGDNG_00254	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
OKAGGDNG_00255	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
OKAGGDNG_00256	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
OKAGGDNG_00257	tRNA	77				tRNA-Met(cat)
OKAGGDNG_00258	tRNA	85				tRNA-Leu(tag)
OKAGGDNG_00259	tRNA	75				tRNA-Gln(ttg)
OKAGGDNG_00260	tRNA	75				tRNA-Gln(ttg)
OKAGGDNG_00261	tRNA	77				tRNA-Met(cat)
OKAGGDNG_00262	tRNA	75				tRNA-Gln(ctg)
OKAGGDNG_00263	tRNA	75				tRNA-Gln(ctg)
OKAGGDNG_00264	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
OKAGGDNG_00265	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
OKAGGDNG_00266	CDS	1080	ybeZ		COG1702	PhoH-like protein
OKAGGDNG_00267	CDS	468	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
OKAGGDNG_00268	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
OKAGGDNG_00269	CDS	1539	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
OKAGGDNG_00270	CDS	1878	glpG_1	3.4.21.105		Rhomboid protease GlpG
OKAGGDNG_00271	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
OKAGGDNG_00272	CDS	741	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
OKAGGDNG_00273	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
OKAGGDNG_00274	CDS	135				hypothetical protein
OKAGGDNG_00275	CDS	1437				hypothetical protein
OKAGGDNG_00276	CDS	153	hokA			Protein HokA
OKAGGDNG_00277	CDS	213	cspA		COG1278	Cold shock protein CspA
OKAGGDNG_00278	CDS	291				hypothetical protein
OKAGGDNG_00279	CDS	711				hypothetical protein
OKAGGDNG_00280	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
OKAGGDNG_00281	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
OKAGGDNG_00282	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
OKAGGDNG_00283	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
OKAGGDNG_00284	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
OKAGGDNG_00285	CDS	699				hypothetical protein
OKAGGDNG_00286	CDS	1209	yhjX			putative MFS-type transporter YhjX
OKAGGDNG_00287	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
OKAGGDNG_00288	tRNA	77				tRNA-Pro(cgg)
OKAGGDNG_00289	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
OKAGGDNG_00290	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
OKAGGDNG_00291	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
OKAGGDNG_00292	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
OKAGGDNG_00293	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
OKAGGDNG_00294	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
OKAGGDNG_00295	tRNA	76				tRNA-Thr(ggt)
OKAGGDNG_00296	tRNA	75				tRNA-Gly(tcc)
OKAGGDNG_00297	tRNA	85				tRNA-Tyr(gta)
OKAGGDNG_00298	tRNA	76				tRNA-Thr(tgt)
OKAGGDNG_00299	CDS	927	coaA_2	2.7.1.33	COG1072	Pantothenate kinase
OKAGGDNG_00300	CDS	966	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
OKAGGDNG_00301	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
OKAGGDNG_00302	CDS	693	nanR_1			HTH-type transcriptional repressor NanR
OKAGGDNG_00303	CDS	657				hypothetical protein
OKAGGDNG_00304	CDS	1146	yehB		COG3188	Outer membrane usher protein YehB
OKAGGDNG_00305	CDS	960				hypothetical protein
OKAGGDNG_00306	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
OKAGGDNG_00307	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
OKAGGDNG_00308	CDS	1305				hypothetical protein
OKAGGDNG_00309	CDS	354				hypothetical protein
OKAGGDNG_00310	CDS	879	php		COG1735	Phosphotriesterase homology protein
OKAGGDNG_00311	CDS	1227	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
OKAGGDNG_00312	CDS	1164	yhfX		COG3457	putative protein YhfX
OKAGGDNG_00313	CDS	363				hypothetical protein
OKAGGDNG_00314	CDS	906				hypothetical protein
OKAGGDNG_00315	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
OKAGGDNG_00316	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
OKAGGDNG_00317	CDS	678	rpe_1	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
OKAGGDNG_00318	CDS	837	dam_1	2.1.1.72	COG0338	DNA adenine methylase
OKAGGDNG_00319	CDS	1287	damX		COG3266	Cell division protein DamX
OKAGGDNG_00320	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
OKAGGDNG_00321	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
OKAGGDNG_00322	CDS	1209	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
OKAGGDNG_00323	CDS	405				hypothetical protein
OKAGGDNG_00324	CDS	441				hypothetical protein
OKAGGDNG_00325	CDS	540				hypothetical protein
OKAGGDNG_00326	CDS	780				hypothetical protein
OKAGGDNG_00327	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
OKAGGDNG_00328	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
OKAGGDNG_00329	CDS	2124	yrfF			Putative membrane protein IgaA 
OKAGGDNG_00330	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
