"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,6.72551299113155e-05,628,567,52,0.091710758377425,0.0828025477707006,"GO:0007166","GO:BP","cell surface receptor signaling pathway",14996,2596
"query_1",TRUE,0.000123671188562909,99,567,17,0.0299823633156966,0.171717171717172,"GO:0007268","GO:BP","chemical synaptic transmission",14996,2660
"query_1",TRUE,0.000123671188562909,99,567,17,0.0299823633156966,0.171717171717172,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",14996,17709
"query_1",TRUE,0.000129620564422268,367,567,36,0.0634920634920635,0.0980926430517711,"GO:0007399","GO:BP","nervous system development",14996,2762
"query_1",TRUE,0.000135463631867688,25,567,9,0.0158730158730159,0.36,"GO:0007193","GO:BP","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",14996,2616
"query_1",TRUE,0.000143862717466666,100,567,17,0.0299823633156966,0.17,"GO:0099537","GO:BP","trans-synaptic signaling",14996,17870
"query_1",TRUE,0.000167012722074271,101,567,17,0.0299823633156966,0.168316831683168,"GO:0099536","GO:BP","synaptic signaling",14996,17869
"query_1",TRUE,0.000170396090646451,204,567,25,0.0440917107583774,0.122549019607843,"GO:0048699","GO:BP","generation of neurons",14996,12106
"query_1",TRUE,0.000331971932653132,197,567,24,0.0423280423280423,0.121827411167513,"GO:0030182","GO:BP","neuron differentiation",14996,6264
"query_1",TRUE,0.000532231312514254,3283,567,173,0.305114638447972,0.0526957051477307,"GO:0051716","GO:BP","cellular response to stimulus",14996,12983
"query_1",TRUE,0.00078894419229154,1068,567,72,0.126984126984127,0.0674157303370786,"GO:0055085","GO:BP","transmembrane transport",14996,13261
"query_1",TRUE,0.00137685435027488,184,567,22,0.0388007054673721,0.119565217391304,"GO:0006813","GO:BP","potassium ion transport",14996,2365
"query_1",TRUE,0.00187112124276813,25,567,8,0.0141093474426808,0.32,"GO:0050804","GO:BP","modulation of chemical synaptic transmission",14996,12409
"query_1",TRUE,0.00187112124276813,25,567,8,0.0141093474426808,0.32,"GO:0099177","GO:BP","regulation of trans-synaptic signaling",14996,17840
"query_1",TRUE,0.00243686767756512,415,567,36,0.0634920634920635,0.0867469879518072,"GO:0010646","GO:BP","regulation of cell communication",14996,4105
"query_1",TRUE,0.00297561195685964,8,567,5,0.00881834215167548,0.625,"GO:0045666","GO:BP","positive regulation of neuron differentiation",14996,10748
"query_1",TRUE,0.00356530026395523,422,567,36,0.0634920634920635,0.0853080568720379,"GO:0023051","GO:BP","regulation of signaling",14996,6204
"query_1",TRUE,0.00415490799296847,55,567,11,0.0194003527336861,0.2,"GO:0007188","GO:BP","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",14996,2611
"query_1",TRUE,0.00427506770375134,197,567,22,0.0388007054673721,0.111675126903553,"GO:0070887","GO:BP","cellular response to chemical stimulus",14996,15231
"query_1",TRUE,0.0126751428640184,16,567,6,0.0105820105820106,0.375,"GO:0045664","GO:BP","regulation of neuron differentiation",14996,10746
"query_1",TRUE,0.0130280617043942,2187,567,119,0.209876543209877,0.0544124371284865,"GO:0006810","GO:BP","transport",14996,2362
"query_1",TRUE,0.0167722937414664,169,567,19,0.0335097001763668,0.112426035502959,"GO:0050793","GO:BP","regulation of developmental process",14996,12400
"query_1",TRUE,0.0208087211978245,2347,567,125,0.220458553791887,0.0532594801874734,"GO:0051179","GO:BP","localization",14996,12665
"query_1",TRUE,0.022621769585485,54,567,10,0.017636684303351,0.185185185185185,"GO:1901699","GO:BP","cellular response to nitrogen compound",14996,20236
"query_1",TRUE,0.0227531053098069,77,567,12,0.0211640211640212,0.155844155844156,"GO:1901701","GO:BP","cellular response to oxygen-containing compound",14996,20238
"query_1",TRUE,0.0319023935776383,1512,567,87,0.153439153439153,0.0575396825396825,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",14996,24417
"query_1",TRUE,0.0319023935776383,1512,567,87,0.153439153439153,0.0575396825396825,"GO:0006355","GO:BP","regulation of DNA-templated transcription",14996,2024
"query_1",TRUE,0.0484783450571172,28,567,7,0.0123456790123457,0.25,"GO:0050808","GO:BP","synapse organization",14996,12413
"query_1",TRUE,0.0498726057791933,3751,567,182,0.320987654320988,0.0485203945614503,"GO:0050896","GO:BP","response to stimulus",14996,12476
"query_1",TRUE,5.13542799576311e-17,5197,434,275,0.633640552995392,0.0529151433519338,"GO:0016020","GO:CC","membrane",12235,699
"query_1",TRUE,4.34658286008187e-09,192,434,29,0.0668202764976959,0.151041666666667,"GO:0045202","GO:CC","synapse",12235,2102
"query_1",TRUE,7.83228415459657e-08,1200,434,84,0.193548387096774,0.07,"GO:0005886","GO:CC","plasma membrane",12235,409
"query_1",TRUE,2.2300870348535e-07,1289,434,87,0.200460829493088,0.0674941815360745,"GO:0071944","GO:CC","cell periphery",12235,2724
"query_1",TRUE,3.50378562921097e-07,351,434,37,0.0852534562211982,0.105413105413105,"GO:0030054","GO:CC","cell junction",12235,844
"query_1",TRUE,2.45720657546937e-06,81,434,16,0.0368663594470046,0.197530864197531,"GO:0098794","GO:CC","postsynapse",12235,3185
"query_1",TRUE,1.10446149626163e-05,68,434,14,0.032258064516129,0.205882352941176,"GO:0097060","GO:CC","synaptic membrane",12235,2830
"query_1",TRUE,2.55650673239273e-05,62,434,13,0.0299539170506912,0.209677419354839,"GO:0045211","GO:CC","postsynaptic membrane",12235,2103
"query_1",TRUE,0.000134593553725985,50,434,11,0.0253456221198157,0.22,"GO:0097447","GO:CC","dendritic tree",12235,2935
"query_1",TRUE,0.000134593553725985,50,434,11,0.0253456221198157,0.22,"GO:0030425","GO:CC","dendrite",12235,908
"query_1",TRUE,0.000303469613678854,54,434,11,0.0253456221198157,0.203703703703704,"GO:0036477","GO:CC","somatodendritic compartment",12235,1684
"query_1",TRUE,0.000358915696727602,8,434,5,0.0115207373271889,0.625,"GO:0098978","GO:CC","glutamatergic synapse",12235,3244
"query_1",TRUE,0.00372309832900514,123,434,15,0.0345622119815668,0.121951219512195,"GO:0098590","GO:CC","plasma membrane region",12235,3147
"query_1",TRUE,0.0106306477609378,150,434,16,0.0368663594470046,0.106666666666667,"GO:0034702","GO:CC","monoatomic ion channel complex",12235,1505
"query_1",TRUE,0.0173876584514839,125,434,14,0.032258064516129,0.112,"GO:0043005","GO:CC","neuron projection",12235,1808
"query_1",TRUE,0.0208896460652405,112,434,13,0.0299539170506912,0.116071428571429,"GO:0034703","GO:CC","cation channel complex",12235,1506
"query_1",TRUE,0.0398765971213734,62,434,9,0.0207373271889401,0.145161290322581,"GO:0043235","GO:CC","receptor complex",12235,1848
"query_1",TRUE,3.78534923818518e-10,504,743,53,0.0713324360699865,0.10515873015873,"GO:0005216","GO:MF","monoatomic ion channel activity",21077,1320
"query_1",TRUE,5.27279173644696e-10,743,743,67,0.0901749663526245,0.0901749663526245,"GO:0015075","GO:MF","monoatomic ion transmembrane transporter activity",21077,2233
"query_1",TRUE,1.31056083755161e-09,553,743,55,0.0740242261103634,0.0994575045207957,"GO:0022803","GO:MF","passive transmembrane transporter activity",21077,3489
"query_1",TRUE,1.31056083755161e-09,553,743,55,0.0740242261103634,0.0994575045207957,"GO:0015267","GO:MF","channel activity",21077,2375
"query_1",TRUE,8.87416225015155e-09,1229,743,90,0.121130551816958,0.0732302685109845,"GO:0022857","GO:MF","transmembrane transporter activity",21077,3516
"query_1",TRUE,1.30243720817059e-08,331,743,39,0.0524899057873486,0.117824773413897,"GO:0005261","GO:MF","monoatomic cation channel activity",21077,1349
"query_1",TRUE,2.32770141609566e-08,1312,743,93,0.125168236877524,0.0708841463414634,"GO:0005215","GO:MF","transporter activity",21077,1319
"query_1",TRUE,1.68087302823534e-07,541,743,50,0.0672947510094213,0.0924214417744917,"GO:0008324","GO:MF","monoatomic cation transmembrane transporter activity",21077,1620
"query_1",TRUE,1.72576687412447e-07,361,743,39,0.0524899057873486,0.10803324099723,"GO:0046873","GO:MF","metal ion transmembrane transporter activity",21077,5628
"query_1",TRUE,3.80870666703746e-05,370,743,35,0.0471063257065949,0.0945945945945946,"GO:0022836","GO:MF","gated channel activity",21077,3502
"query_1",TRUE,4.73475342725948e-05,61,743,13,0.0174966352624495,0.213114754098361,"GO:0030594","GO:MF","neurotransmitter receptor activity",21077,3683
"query_1",TRUE,0.000111524771571393,1582,743,94,0.126514131897712,0.0594184576485461,"GO:0038023","GO:MF","signaling receptor activity",21077,4947
"query_1",TRUE,0.000111524771571393,1582,743,94,0.126514131897712,0.0594184576485461,"GO:0060089","GO:MF","molecular transducer activity",21077,7657
"query_1",TRUE,0.000700243627212133,155,743,19,0.0255720053835801,0.12258064516129,"GO:0022843","GO:MF","voltage-gated monoatomic cation channel activity",21077,3507
"query_1",TRUE,0.000771530909287885,156,743,19,0.0255720053835801,0.121794871794872,"GO:0005267","GO:MF","potassium channel activity",21077,1351
"query_1",TRUE,0.00136237155148633,177,743,20,0.0269179004037685,0.112994350282486,"GO:0015079","GO:MF","potassium ion transmembrane transporter activity",21077,2235
"query_1",TRUE,0.00231316864797278,168,743,19,0.0255720053835801,0.113095238095238,"GO:0005244","GO:MF","voltage-gated monoatomic ion channel activity",21077,1337
"query_1",TRUE,0.0029907745205998,171,743,19,0.0255720053835801,0.111111111111111,"GO:0022832","GO:MF","voltage-gated channel activity",21077,3499
"query_1",TRUE,0.00358880299631095,937,743,59,0.0794078061911171,0.0629669156883671,"GO:0003700","GO:MF","DNA-binding transcription factor activity",21077,326
"query_1",TRUE,0.00452618351710423,1074,743,65,0.0874831763122476,0.0605214152700186,"GO:0140110","GO:MF","transcription regulator activity",21077,9201
"query_1",TRUE,0.00512297156131751,118,743,15,0.0201884253028264,0.127118644067797,"GO:0005249","GO:MF","voltage-gated potassium channel activity",21077,1342
"query_1",TRUE,0.00804928948845999,46,743,9,0.0121130551816958,0.195652173913043,"GO:0098960","GO:MF","postsynaptic neurotransmitter receptor activity",21077,8427
"query_1",TRUE,0.0145085193947989,100,743,13,0.0174966352624495,0.13,"GO:0008081","GO:MF","phosphoric diester hydrolase activity",21077,1503
"query_1",TRUE,0.0173586992333228,116,743,14,0.018842530282638,0.120689655172414,"GO:0001653","GO:MF","peptide receptor activity",21077,221
"query_1",TRUE,0.0222083138060677,64,743,10,0.0134589502018843,0.15625,"GO:0015081","GO:MF","sodium ion transmembrane transporter activity",21077,2237
"query_1",TRUE,0.024395433207361,1432,743,78,0.104979811574697,0.0544692737430168,"GO:0004888","GO:MF","transmembrane signaling receptor activity",21077,1110
"query_1",TRUE,0.0295044119266794,6330,743,270,0.363391655450875,0.042654028436019,"GO:0005515","GO:MF","protein binding",21077,1455
"query_1",TRUE,0.0324706797389748,108,743,13,0.0174966352624495,0.12037037037037,"GO:0008528","GO:MF","G protein-coupled peptide receptor activity",21077,1738
"query_1",TRUE,0.045287789481641,34,743,7,0.00942126514131898,0.205882352941176,"GO:0004114","GO:MF","3',5'-cyclic-nucleotide phosphodiesterase activity",21077,576
